Planet Name,Star Name,Orbital Period [days],
EPIC 201497682 b,EPIC 201497682,2.13174,
EPIC 201595106 b,EPIC 201595106,0.87724,
EPIC 201615463 c,K2-166,3.80464,
EPIC 201754305 d,K2-16,2.71578,
EPIC 201757695.02,EPIC 201757695,2.0478,
EPIC 201833600 c,K2-50,3.96151,
EPIC 201841433 b,EPIC 201841433,4.1698,
EPIC 205950854 c,K2-168,8.050722,
EPIC 206024342 b,EPIC 206024342,4.50756,
EPIC 206024342 c,EPIC 206024342,0.911724,
EPIC 206024342 d,EPIC 206024342,14.647531,
EPIC 206032309 b,EPIC 206032309,2.87814,
EPIC 206042996 b,EPIC 206042996,5.2986,
EPIC 206042996 c,EPIC 206042996,0.354884,
EPIC 206215704 b,EPIC 206215704,2.255436,
EPIC 206317286 b,EPIC 206317286,1.58252,
EPIC 206317286 c,EPIC 206317286,17.515472,
EPIC 211822797 b,EPIC 211822797,21.1701963,
EPIC 211945201 b,EPIC 211945201,19.49221,
EPIC 212297394 b,EPIC 212297394,2.289363,
EPIC 212297394 c,EPIC 212297394,5.213965,
EPIC 212424622 b,EPIC 212424622,18.0983,
EPIC 212499991 b,EPIC 212499991,34.885,
EPIC 212587672 b,EPIC 212587672,15.28078,
EPIC 212587672 c,EPIC 212587672,23.228555,
EPIC 212624936 b,EPIC 212624936,0.578657,
EPIC 212624936 c,EPIC 212624936,11.811437,
EPIC 212737443 b,EPIC 212737443,13.603,
EPIC 212737443 c,EPIC 212737443,65.55,
EPIC 220492298 b,EPIC 220492298,0.762406,
EPIC 220554210 c,K2-282,0.70531,
EPIC 220674823 b,EPIC 220674823,0.571292,
EPIC 220674823 c,EPIC 220674823,13.3397,
EPIC 228836835 b,EPIC 228836835,0.728113,
EPIC 229004835 b,EPIC 229004835,16.141132,
EPIC 246851721 b,EPIC 246851721,6.180235,
EPIC 248847494 b,EPIC 248847494,3650,
EPIC 249893012 b,EPIC 249893012,3.5951,
EPIC 249893012 c,EPIC 249893012,15.624,
EPIC 249893012 d,EPIC 249893012,35.747,
FU Tau b,FU Tau,,
G 196-3 b,G 196-3,,
G 264-012 b,G 264-012,2.30538,
G 264-012 c,G 264-012,8.0518,
G 9-40 b,G 9-40,5.7459982,
GJ 1002 b,GJ 1002,10.3465,
GJ 1002 c,GJ 1002,21.202,
GJ 1061 b,GJ 1061,3.204,
GJ 1061 c,GJ 1061,6.689,
GJ 1061 d,GJ 1061,13.031,
GJ 1132 b,GJ 1132,1.62892911,
GJ 1132 c,GJ 1132,8.929,
GJ 1148 b,GJ 1148,41.38,
GJ 1148 c,GJ 1148,532.58,
GJ 1151 c,GJ 1151,389.7,
GJ 1214 b,GJ 1214,1.58040453,
GJ 1252 b,GJ 1252,0.5182331,
GJ 1265 b,GJ 1265,3.6511,
GJ 143 b,GJ 143,35.61253,
GJ 15 A b,GJ 15,11.4407,
GJ 15 A c,GJ 15,7600,
GJ 160.2 b,GJ 160.2,5.2354,
GJ 163 b,GJ 163,8.63182,
GJ 163 c,GJ 163,25.63058,
GJ 163 d,GJ 163,603.95116,
GJ 179 b,GJ 179,2288,
GJ 180 b,GJ 180,17.133,
GJ 180 c,GJ 180,24.329,
GJ 180 d,GJ 180,106.3,
GJ 2030 b,GJ 2030,2.38129,
GJ 2030 c,GJ 2030,25533.11353,
GJ 2056 b,GJ 2056,69.971,
GJ 229 A c,GJ 229,121.93268,
GJ 229 b,GJ 229,579.47495,
GJ 238 b,GJ 238,1.7446999,
GJ 251 b,GJ 251,14.238,
GJ 27.1 b,GJ 27.1,15.819,
GJ 273 b,GJ 273,18.6498,
GJ 273 c,GJ 273,4.7234,
GJ 3021 b,GJ 3021,133.71,
GJ 3082 b,GJ 3082,11.949,
GJ 3090 b,GJ 3090,2.8531054,
GJ 3138 b,GJ 3138,1.22003,
GJ 3138 c,GJ 3138,5.974,
GJ 3138 d,GJ 3138,257.8,
GJ 317 b,GJ 317,695.66,
GJ 317 c,GJ 317,6739.323,
GJ 3222 b,HIP 15799,10.66669,
GJ 328 b,GJ 328,3771,
GJ 328 c,GJ 328,241.8,
GJ 3293 b,GJ 3293,30.5987,
GJ 3293 c,GJ 3293,122.6196,
GJ 3293 d,GJ 3293,48.1345,
GJ 3293 e,GJ 3293,13.2543,
GJ 3323 b,GJ 3323,5.3636,
GJ 3323 c,GJ 3323,40.54,
GJ 3341 b,GJ 3341,14.207,
GJ 338 B b,GJ 338,24.422,
GJ 3470 b,GJ 3470,3.3366496,
GJ 3473 b,GJ 3473,1.1980035,
GJ 3473 c,GJ 3473,15.509,
GJ 3512 b,GJ 3512,203.69,
GJ 3512 c,GJ 3512,1599.6,
GJ 357 b,GJ 357,3.9306,
GJ 357 c,GJ 357,9.1247,
GJ 357 d,GJ 357,55.661,
GJ 3634 b,GJ 3634,2.64561,
GJ 367 b,GJ 367,0.3219225,
GJ 367 c,GJ 367,11.5301,
GJ 367 d,GJ 367,34.369,
GJ 3779 b,GJ 3779,3.0232,
GJ 3929 b,GJ 3929,2.616235,
GJ 3929 c,GJ 3929,15.04,
GJ 393 b,GJ 393,7.02679,
GJ 3942 b,GJ 3942,6.905,
GJ 3988 b,GJ 3988,6.9442,
GJ 3998 b,GJ 3998,2.64977,
GJ 3998 c,GJ 3998,13.74,
GJ 411 b,GJ 411,12.9394,
GJ 414 A b,GJ 414,50.8,
GJ 414 A c,GJ 414,749.83,
GJ 422 b,GJ 422,20.129,
GJ 4276 b,GJ 4276,13.352,
GJ 433 b,GJ 433,7.3705,
GJ 433 c,GJ 433,5094.105,
GJ 433 d,GJ 433,36.059,
GJ 436 b,GJ 436,2.64388312,
GJ 463 b,GJ 463,3448,
GJ 480 b,GJ 480,9.567,
GJ 486 b,GJ 486,1.46712127,
GJ 504 b,GJ 504,,
GJ 514 b,GJ 514,140.43,
GJ 536 b,GJ 536,8.7076,
GJ 581 b,GJ 581,5.3686,
GJ 581 c,GJ 581,12.914,
GJ 581 e,GJ 581,3.149,
GJ 625 b,GJ 625,14.628,
GJ 649 b,GJ 649,600.1,
GJ 667 C b,GJ 667,7.203,
GJ 667 C c,GJ 667,28.14,
GJ 667 C e,GJ 667,62.24,
GJ 667 C f,GJ 667,39.026,
GJ 667 C g,GJ 667,256.2,
GJ 674 b,GJ 674,4.6938,
GJ 676 A b,GJ 676,1051.44521,
GJ 676 A c,GJ 676,13921.42302,
GJ 676 A d,GJ 676,3.60076,
GJ 676 A e,GJ 676,35.47358,
GJ 680 b,HIP 86057,17281.66514,
GJ 682 b,GJ 682,17.478,
GJ 682 c,GJ 682,57.32,
GJ 685 b,GJ 685,24.16,
GJ 687 b,GJ 687,38.142,
GJ 687 c,GJ 687,727.562,
GJ 720 A b,GJ 720,19.466,
GJ 724 b,GJ 724,5.101284,
GJ 740 b,GJ 740,2.37756,
GJ 806 b,GJ 806,0.9263237,
GJ 806 c,GJ 806,6.64064,
GJ 832 b,GJ 832,3853,
GJ 849 b,GJ 849,1925.31,
GJ 849 c,GJ 849,5990,
GJ 86 b,GJ 86,15.76491,
GJ 876 b,GJ 876,61.1166,
GJ 876 c,GJ 876,30.0881,
GJ 876 d,GJ 876,1.93778,
GJ 876 e,GJ 876,124.26,
GJ 887 b,GJ 887,9.262,
GJ 887 c,GJ 887,21.789,
GJ 896 A b,GJ 896,284.39,
GJ 900 b,GJ 900,,
GJ 9066 c,GJ 9066,771.36,
GJ 9404 b,GJ 9404,13.4586,
GJ 96 b,GJ 96,73.94,
GJ 9689 b,GJ 9689,18.27,
GJ 9714 b,HIP 103768,19240.75467,
GJ 9827 b,GJ 9827,1.208974,
GJ 9827 c,GJ 9827,3.648103,
GJ 9827 d,GJ 9827,6.20183,
GPX-1 b,GPX-1,1.744579,
GQ Lup b,GQ Lup,,
GSC 06214-00210 b,GSC 06214-00210,,
GU Psc b,GU Psc,,
Gaia-1 b,Gaia-1,3.052524,
Gaia-2 b,Gaia-2,3.6915224,
Gaia22dkvL b,Gaia22dkvL,,
Gl 378 b,Gl 378,3.822,
Gl 49 b,Gl 49,13.8508,
Gl 686 b,Gl 686,15.53,
Gliese 12 b,Gliese 12,12.761408,
HAT-P-1 b,HAT-P-1,4.46529976,
HAT-P-11 b,HAT-P-11,4.88780244,
HAT-P-11 c,HAT-P-11,3299,
HAT-P-12 b,HAT-P-12,3.2130598,
HAT-P-13 b,HAT-P-13,2.91625,
HAT-P-13 c,HAT-P-13,446.27,
HAT-P-14 b,HAT-P-14,4.62767,
HAT-P-15 b,HAT-P-15,10.8635,
HAT-P-16 b,HAT-P-16,2.77596,
HAT-P-17 b,HAT-P-17,10.33852,
HAT-P-17 c,HAT-P-17,5584,
HAT-P-18 b,HAT-P-18,5.508023,
HAT-P-19 b,HAT-P-19,4.00878322,
HAT-P-2 b,HAT-P-2,5.6335158,
HAT-P-2 c,HAT-P-2,8500,
HAT-P-20 b,HAT-P-20,2.875317,
HAT-P-21 b,HAT-P-21,4.12448,
HAT-P-22 b,HAT-P-22,3.21222,
HAT-P-23 b,HAT-P-23,1.212884,
HAT-P-24 b,HAT-P-24,3.35524,
HAT-P-25 b,HAT-P-25,3.65281514,
HAT-P-26 b,HAT-P-26,4.23452,
HAT-P-27 b,HAT-P-27,3.039577,
HAT-P-28 b,HAT-P-28,3.257215,
HAT-P-29 b,HAT-P-29,5.72319,
HAT-P-3 b,HAT-P-3,2.8997,
HAT-P-30 b,HAT-P-30,2.8106,
HAT-P-31 b,HAT-P-31,5.00542,
HAT-P-32 b,HAT-P-32,2.1500082,
HAT-P-33 b,HAT-P-33,3.47447,
HAT-P-34 b,HAT-P-34,5.452654,
HAT-P-35 b,HAT-P-35,3.646706,
HAT-P-36 b,HAT-P-36,1.32734683,
HAT-P-37 b,HAT-P-37,2.797436,
HAT-P-38 b,HAT-P-38,4.640382,
HAT-P-39 b,HAT-P-39,3.54387,
HAT-P-4 b,HAT-P-4,3.056536,
HAT-P-40 b,HAT-P-40,4.45724,
HAT-P-41 b,HAT-P-41,2.69405,
HAT-P-42 b,HAT-P-42,4.641878,
HAT-P-43 b,HAT-P-43,3.3326414,
HAT-P-44 b,HAT-P-44,4.301219,
HAT-P-44 c,HAT-P-44,872.2,
HAT-P-45 b,HAT-P-45,3.128992,
HAT-P-46 b,HAT-P-46,4.463129,
HAT-P-49 b,HAT-P-49,2.69155,
HAT-P-5 b,HAT-P-5,2.78849,
HAT-P-50 b,HAT-P-50,3.1220109,
HAT-P-51 b,HAT-P-51,4.21802091,
HAT-P-52 b,HAT-P-52,2.7535953,
HAT-P-53 b,HAT-P-53,1.9616241,
HAT-P-54 b,HAT-P-54,3.799847,
HAT-P-55 b,HAT-P-55,3.5852313,
HAT-P-56 b,HAT-P-56,2.79083,
HAT-P-57 b,HAT-P-57,2.4653,
HAT-P-58 b,HAT-P-58,4.0138379,
HAT-P-59 b,HAT-P-59,4.1419771,
HAT-P-6 b,HAT-P-6,3.85298,
HAT-P-60 b,HAT-P-60,4.7947813,
HAT-P-61 b,HAT-P-61,1.90231289,
HAT-P-62 b,HAT-P-62,2.6453235,
HAT-P-63 b,HAT-P-63,3.377728,
HAT-P-64 b,HAT-P-64,4.007232,
HAT-P-65 b,HAT-P-65,2.60544751,
HAT-P-66 b,HAT-P-66,2.972086,
HAT-P-67 b,HAT-P-67,4.8101025,
HAT-P-68 b,HAT-P-68,2.29840551,
HAT-P-69 b,HAT-P-69,4.7869491,
HAT-P-7 b,HAT-P-7,2.20474,
HAT-P-70 b,HAT-P-70,2.74432452,
HAT-P-8 b,HAT-P-8,3.07634,
HAT-P-9 b,HAT-P-9,3.92281072,
HATS-1 b,HATS-1,3.446459,
HATS-10 b,HATS-10,3.312846,
HATS-11 b,HATS-11,3.619188,
HATS-12 b,HATS-12,3.142702,
HATS-13 b,HATS-13,3.0440499,
HATS-14 b,HATS-14,2.7667641,
HATS-15 b,HATS-15,1.74748753,
HATS-16 b,HATS-16,2.686502,
HATS-17 b,HATS-17,16.254611,
HATS-18 b,HATS-18,0.83784,
HATS-2 b,HATS-2,1.35413379,
HATS-22 b,HATS-22,4.7228124,
HATS-23 b,HATS-23,2.1605156,
HATS-24 b,HATS-24,1.3484978,
HATS-25 b,HATS-25,4.2986432,
HATS-26 b,HATS-26,3.3023881,
HATS-27 b,HATS-27,4.637038,
HATS-28 b,HATS-28,3.1810781,
HATS-29 b,HATS-29,4.6058749,
HATS-3 b,HATS-3,3.547851,
HATS-30 b,HATS-30,3.1743516,
HATS-31 b,HATS-31,3.37796,
HATS-32 b,HATS-32,2.8126548,
HATS-33 b,HATS-33,2.5495551,
HATS-34 b,HATS-34,2.1061607,
HATS-35 b,HATS-35,1.8209993,
HATS-36 b,HATS-36,4.175186,
HATS-37 A b,HATS-37,4.3315366,
HATS-38 b,HATS-38,4.375021,
HATS-39 b,HATS-39,4.5776348,
HATS-4 b,HATS-4,2.516729,
HATS-40 b,HATS-40,3.2642736,
HATS-41 b,HATS-41,4.193649,
HATS-42 b,HATS-42,2.292102,
HATS-43 b,HATS-43,4.3888497,
HATS-44 b,HATS-44,2.7439004,
HATS-45 b,HATS-45,4.1876244,
HATS-46 b,HATS-46,4.7423729,
HATS-47 b,HATS-47,3.9228038,
HATS-48 A b,HATS-48,3.1316666,
HATS-49 b,HATS-49,4.1480467,
HATS-5 b,HATS-5,4.763387,
HATS-50 b,HATS-50,3.8297015,
HATS-51 b,HATS-51,3.3488702,
HATS-52 b,HATS-52,1.36665436,
HATS-53 b,HATS-53,3.8537768,
HATS-54 b,HATS-54,2.5441765,
HATS-55 b,HATS-55,4.2042001,
HATS-56 b,HATS-56,4.324799,
HATS-57 b,HATS-57,2.350621,
HATS-58 A b,HATS-58,4.2180896,
HATS-59 b,HATS-59,5.416081,
HATS-59 c,HATS-59,1422,
HATS-6 b,HATS-6,3.3252725,
HATS-60 b,HATS-60,3.560829,
HATS-61 b,HATS-61,7.817953,
HATS-62 b,HATS-62,3.2768837,
HATS-63 b,HATS-63,3.0566527,
HATS-64 b,HATS-64,4.908897,
HATS-65 b,HATS-65,3.105161,
HATS-66 b,HATS-66,3.1414391,
HATS-67 b,HATS-67,1.6091788,
HATS-68 b,HATS-68,3.5862202,
HATS-69 b,HATS-69,2.2252577,
HATS-7 b,HATS-7,3.185315,
HATS-70 b,HATS-70,1.8882378,
HATS-71 b,HATS-71,3.7955202,
HATS-72 b,HATS-72,7.3279474,
HATS-74 A b,HATS-74,1.73185606,
HATS-75 b,HATS-75,2.7886556,
HATS-76 b,HATS-76,1.9416423,
HATS-77 b,HATS-77,3.0876262,
HATS-8 b,HATS-8,3.583893,
HATS-9 b,HATS-9,1.915291,
HD 100546 b,HD 100546,,
HD 100655 b,HD 100655,157.57001,
HD 100777 b,HD 100777,383,
HD 101581 b,HIP 56998,4.46569,
HD 101581 c,HIP 56998,6.20401,
HD 10180 c,HD 10180,5.75969,
HD 10180 d,HD 10180,16.357,
HD 10180 e,HD 10180,49.748,
HD 10180 f,HD 10180,122.744,
HD 10180 g,HD 10180,604.67,
HD 10180 h,HD 10180,2205,
HD 101930 b,HD 101930,70.46,
HD 102117 b,HD 102117,20.8133,
HD 102195 b,HD 102195,4.11377,
HD 102272 b,HD 102272,127.58,
HD 102329 b,HD 102329,778.09998,
HD 102329 c,HD 102329,1123,
HD 102365 b,HD 102365,122.1,
HD 102843 b,HD 102843,3090.942,
HD 102956 b,HD 102956,6.4947,
HD 103197 b,HD 103197,47.84,
HD 103720 b,HD 103720,4.5557,
HD 103774 b,HD 103774,5.8881,
HD 103891 b,HD 103891,1919,
HD 103949 b,HD 103949,120.878,
HD 104067 b,HD 104067,55.851,
HD 104067 c,HD 104067,13.8992,
HD 10442 b,HD 10442,1032.3,
HD 104985 b,HD 104985,199.68,
HD 105618 b,HD 105618,10.02245,
HD 105618 c,HD 105618,77114.07158,
HD 105779 b,HD 105779,2412,
HD 106252 b,HD 106252,1531,
HD 106270 b,HD 106270,1888,
HD 106315 b,HD 106315,9.55237,
HD 106315 c,HD 106315,21.05704,
HD 10647 b,HD 10647,989.2,
HD 106515 A b,HD 106515,3586.86089,
HD 106906 b,HD 106906,,
HD 10697 b,HD 10697,1075.3799,
HD 107148 b,HD 107148,48.056,
HD 107148 c,HD 107148,18.3267,
HD 108147 b,HD 108147,10.8985,
HD 108202 b,HD 108202,2990,
HD 108236 b,HD 108236,3.795963,
HD 108236 c,HD 108236,6.203449,
HD 108236 d,HD 108236,14.175685,
HD 108236 e,HD 108236,19.590025,
HD 108236 f,HD 108236,29.54115,
HD 108341 b,HD 108341,1129,
HD 108863 b,HD 108863,437.7,
HD 108874 b,HD 108874,394.48123,
HD 108874 c,HD 108874,1624,
HD 109246 b,HD 109246,68.27,
HD 109271 b,HD 109271,7.8543,
HD 109271 c,HD 109271,30.93,
HD 109286 b,HD 109286,520.1,
HD 109749 b,HD 109749,5.239891,
HD 10975 b,HD 10975,283.8,
HD 109833 b,HD 109833,9.188526,
HD 109833 c,HD 109833,13.900148,
HD 109988 b,HD 109988,17132.15854,
HD 110014 b,HD 110014,835.477,
HD 110067 b,HD 110067,9.113678,
HD 110067 c,HD 110067,13.673694,
HD 110067 d,HD 110067,20.519617,
HD 110067 e,HD 110067,30.793091,
HD 110067 f,HD 110067,41.05854,
HD 110067 g,HD 110067,54.76992,
HD 110082 b,HD 110082,10.18271,
HD 110113 b,HD 110113,2.541,
HD 110113 c,HD 110113,6.744,
HD 110537 b,HIP 62039,24469.67342,
HD 11112 b,HD 11112,17244.90764,
HD 111232 b,HD 111232,1169.13202,
HD 111232 c,HD 111232,26472.44623,
HD 111591 b,HD 111591,1056.4,
HD 111998 b,HD 111998,810,
HD 112300 b,HD 112300,466.63,
HD 112570 b,HD 112570,2615,
HD 112640 b,HD 112640,613.2,
HD 113337 b,HD 113337,317.58639,
HD 113337 c,HD 113337,5429.93477,
HD 11343 c,HIP 8541,228.53731,
HD 113538 b,HD 113538,663.2,
HD 113538 c,HD 113538,1818,
HD 113996 b,HD 113996,610.2,
HD 114082 b,HD 114082,109.75,
HD 114386 b,HD 114386,937.70001,
HD 114729 b,HD 114729,1121.79,
HD 114783 b,HD 114783,493.7,
HD 114783 c,HD 114783,4352,
HD 11505 b,HD 11505,32669.22247,
HD 11506 b,HD 11506,1617.7,
HD 11506 c,HD 11506,223.92,
HD 11506 d,HD 11506,26500,
HD 115404 A b,HIP 64797 A,10.49488,
HD 115404 A c,HIP 64797 A,15319.22517,
HD 115954 b,HD 115954,3700,
HD 116029 b,HD 116029,670,
HD 116029 c,HD 116029,907,
HD 117207 b,HD 117207,2621.75,
HD 11755 b,HD 11755,433.70001,
HD 117618 b,HD 117618,25.8,
HD 118203 b,HD 118203,6.134989,
HD 118203 c,HD 118203,5070,
HD 11964 b,HD 11964,1945,
HD 11964 c,HD 11964,37.91,
HD 11977 b,HD 11977,711,
HD 120084 b,HD 120084,2142,
HD 121504 b,HD 121504,63.33,
HD 12235 b,HD 12235,4.36305,
HD 12235 c,HD 12235,36336.70679,
HD 122562 c,HD 122562,84.96276,
HD 124330 b,HD 124330,270.66,
HD 12484 b,HD 12484,58.83,
HD 125271 b,HD 125271,14901.99295,
HD 125390 b,HD 125390,1757.39151,
HD 125595 b,HD 125595,9.6737,
HD 125612 b,HD 125612,557.69994,
HD 125612 c,HD 125612,4.15466,
HD 125612 d,HD 125612,2822.72698,
HD 12648 b,HD 12648,133.60001,
HD 126525 b,HD 126525,960.41,
HD 12661 b,HD 12661,262.70862,
HD 12661 c,HD 12661,1708,
HD 126614 b,HD 126614,1257.25303,
HD 127506 b,HIP 70950,65.78395,
HD 128311 b,HD 128311,453.019,
HD 128311 c,HD 128311,921.538,
HD 128356 b,HD 128356,298.2,
HD 129445 b,HD 129445,1840,
HD 130322 b,HD 130322,10.70871,
HD 131496 b,HD 131496,896,
HD 13167 b,HD 13167,2613,
HD 13189 b,HD 13189,471.60001,
HD 132406 b,HD 132406,908,
HD 132563 b,HD 132563,1544,
HD 133131 A b,HD 133131,649,
HD 133131 A c,HD 133131,3568,
HD 133131 B b,HD 133131,5769,
HD 134060 b,HD 134060,3.2696,
HD 134060 c,HD 134060,1291.5646,
HD 134606 b,HD 134606,12.089,
HD 134606 c,HD 134606,58.883,
HD 134606 d,HD 134606,966.5,
HD 134606 e,HD 134606,4.3203,
HD 134606 f,HD 134606,26.915,
HD 134987 b,HD 134987,258.17999,
HD 134987 c,HD 134987,5000,
HD 135625 b,HD 135625,4055,
HD 135694 b,HD 135694,15.92347557,
HD 135872 b,HD 135872,2422.32597,
HD 136118 b,HD 136118,1187.59765,
HD 136352 b,HD 136352,11.57797,
HD 136352 c,HD 136352,27.59221,
HD 136352 d,HD 136352,107.245,
HD 136418 b,HD 136418,464.29999,
HD 136925 b,HD 136925,4540,
HD 13724 c,HD 13724,142.22895,
HD 137388 b,HD 137388,330,
HD 137496 b,HD 137496,1.62116,
HD 137496 c,HD 137496,479.9,
HD 13808 b,HD 13808,14.1815,
HD 13808 c,HD 13808,53.753,
HD 13908 b,HD 13908,19.382,
HD 13908 c,HD 13908,931,
HD 13931 b,HD 13931,4218,
HD 139357 b,HD 139357,1124.79139,
HD 1397 b,HD 1397,11.53533,
HD 14067 b,HD 14067,2744,
HD 140901 b,HIP 77358,9.02378,
HD 140901 c,HIP 77358,14386,
HD 141004 b,HD 141004,15.5083,
HD 141399 b,HD 141399,94.44,
HD 141399 c,HD 141399,201.99,
HD 141399 d,HD 141399,1069.8,
